timestamp,agent,trading_pair,direction,price,quantity,account_balance_change,account_balance_after,reason
2026-06-12T17:00:00.000Z,Spot,BTCUSDT,BUY,63865.00,0.03128474,-2000.00,8000.00,"[rule-engine] RSI 56.6 neutral | MACD bullish cross | EMA50>EMA100 macro uptrend → momentum 1, bias: LONG"
2026-06-23T08:00:00.000Z,Spot,BTCUSDT,SELL,61949.05,0.03128474,-61.88,9938.12,"stop-loss hit"
2026-05-29T14:00:00.000Z,Futures,BTCUSDT,SHORT,73096.62,0.02733369,-2000.00,8000.00,"[rule-engine] RSI 39.0 neutral | MACD bearish cross | EMA50<EMA100 macro downtrend → momentum -1, bias: SHORT"
2026-06-02T14:00:00.000Z,Futures,BTCUSDT,COVER,68710.82,0.02733369,118.00,10118.00,"take-profit hit"
2026-06-05T05:00:00.000Z,Futures,BTCUSDT,SHORT,62325.05,0.03243602,-2023.60,8094.40,"[rule-engine] RSI 38.3 neutral | MACD bearish cross | EMA50<EMA100 macro downtrend → momentum -1, bias: SHORT"
2026-06-07T22:00:00.000Z,Futures,BTCUSDT,COVER,64194.80,0.03243602,-62.73,10055.27,"stop-loss hit"
2026-06-08T00:00:00.000Z,Futures,BTCUSDT,SHORT,63635.00,0.03157136,-2011.05,8044.22,"[rule-engine] RSI 67.7 overbought | MACD above signal | EMA50<EMA100 macro downtrend → momentum -1, bias: SHORT"
2026-06-12T17:00:00.000Z,Futures,BTCUSDT,COVER,63865.00,0.03157136,-9.28,10045.99,"trend flipped, closing. [rule-engine] RSI 56.6 neutral | MACD bullish cross | EMA50>EMA100 macro uptrend → momentum 1, bias: LONG"
2026-06-13T10:00:00.000Z,Futures,BTCUSDT,BUY,63840.00,0.03144094,-2009.20,8036.80,"[rule-engine] RSI 56.5 neutral | MACD bullish cross | EMA50>EMA100 macro uptrend → momentum 1, bias: LONG"
2026-06-20T13:00:00.000Z,Futures,BTCUSDT,SELL,63400.00,0.03144094,-15.83,10030.17,"trend flipped, closing. [rule-engine] RSI 49.1 neutral | MACD bearish cross | EMA50<EMA100 macro downtrend → momentum -1, bias: SHORT"
2026-06-21T03:00:00.000Z,Futures,BTCUSDT,SHORT,64421.15,0.03110822,-2006.03,8024.13,"[rule-engine] RSI 66.3 overbought | MACD above signal | EMA50<EMA100 macro downtrend → momentum -1, bias: SHORT"
2026-06-23T05:00:00.000Z,Futures,BTCUSDT,COVER,63400.00,0.03110822,29.79,10059.96,"trend flipped, closing. [rule-engine] RSI 34.3 oversold | MACD below signal | EMA50>EMA100 macro uptrend → momentum 1, bias: LONG"
2026-06-23T06:00:00.000Z,Futures,BTCUSDT,BUY,62933.81,0.03193800,-2011.99,8047.97,"[rule-engine] RSI 29.0 oversold | MACD below signal | EMA50>EMA100 macro uptrend → momentum 1, bias: LONG"
